year,baseline_expected_annual_flood_loss,improved_expected_annual_flood_loss,baseline_runoff_index,improved_runoff_index,runoff_reduction_rate,baseline_infiltration_rate,improved_infiltration_rate,avoided_flood_loss,cumulative_avoided_flood_loss,insurance_risk_reduction_payment,annual_project_net_benefit,project_cash_flow_after_capex,cumulative_project_cash_flow,discounted_annual_net_benefit,project_npv,project_roi,payback_year
1,3600000.0,2057795.121951219,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1542204.878048781,1542204.878048781,600000,1292204.8780487813,-16707795.121951219,-16707795.121951219,1254567.8427658072,6884770.828525852,0.9108386431511061,12
2,3689999.9999999995,2109239.999999999,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1580760.0000000005,3122964.8780487813,600000,1330760.0000000005,1330760.0000000005,-15377035.121951219,1254368.9320388355,6884770.828525852,0.9108386431511061,12
3,3782249.9999999995,2161970.999999999,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1620279.0000000005,4743243.878048781,600000,1370279.0000000005,1370279.0000000005,-14006756.121951219,1253999.3978367886,6884770.828525852,0.9108386431511061,12
4,3876806.2499999986,2216020.2749999985,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1660785.975,6404029.853048781,600000,1410785.975,1410785.975,-12595970.146951219,1253465.0661686067,6884770.828525852,0.9108386431511061,12
5,3973726.406249998,2271420.7818749985,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1702305.6243749997,8106335.477423781,600000,1452305.6243749997,1452305.6243749997,-11143664.52257622,1252771.5891964026,6884770.828525852,0.9108386431511061,12
6,4073069.566406248,2328206.3014218733,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1744863.2649843749,9851198.742408156,600000,1494863.2649843749,1494863.2649843749,-9648801.257591845,1251924.4503191398,6884770.828525852,0.9108386431511061,12
7,4174896.305566404,2386411.4589574197,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1788484.8466089843,11639683.589017142,600000,1538484.8466089843,1538484.8466089843,-8110316.410982861,1250928.9691081466,6884770.828525852,0.9108386431511061,12
8,4279268.713205564,2446071.745431355,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1833196.9677742086,13472880.55679135,600000,1583196.9677742086,1583196.9677742086,-6527119.443208653,1249790.3060987825,6884770.828525852,0.9108386431511061,12
9,4386250.431035702,2507223.539067139,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1879026.8919685632,15351907.448759913,600000,1629026.8919685632,1629026.8919685632,-4898092.551240089,1248513.4674424403,6884770.828525852,0.9108386431511061,12
10,4495906.691811595,2569904.1275438173,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1926002.5642677778,17277910.01302769,600000,1676002.5642677778,1676002.5642677778,-3222089.9869723115,1247103.3094229607,6884770.828525852,0.9108386431511061,12
11,4608304.359106884,2634151.7307324125,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,1974152.6283744718,19252062.641402163,600000,1724152.6283744718,1724152.6283744718,-1497937.3585978397,1245564.542841397,6884770.828525852,0.9108386431511061,12
12,4723511.968084556,2700005.5240007224,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2023506.4440838336,21275569.085485995,600000,1773506.4440838336,1773506.4440838336,275569.0854859939,1243901.7372729846,6884770.828525852,0.9108386431511061,12
13,4841599.767286669,2767505.6621007402,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2074094.1051859292,23349663.190671925,600000,1824094.1051859292,1824094.1051859292,2099663.190671923,1242119.3252000145,6884770.828525852,0.9108386431511061,12
14,4962639.761468835,2836693.3036532584,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2125946.457815577,25475609.6484875,600000,1875946.4578155768,1875946.4578155768,3975609.6484875,1240221.6060242443,6884770.828525852,0.9108386431511061,12
15,5086705.755505556,2907610.63624459,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2179095.1192609663,27654704.767748468,600000,1929095.1192609663,1929095.1192609663,5904704.767748466,1238212.7499623466,6884770.828525852,0.9108386431511061,12
16,5213873.399393194,2980300.902150704,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2233572.4972424903,29888277.26499096,600000,1983572.4972424903,1983572.4972424903,7888277.264990956,1236096.8018278005,6884770.828525852,0.9108386431511061,12
17,5344220.234378024,3054808.4247044716,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2289411.8096735524,32177689.07466451,600000,2039411.8096735524,2039411.8096735524,9927689.074664507,1233877.684702545,6884770.828525852,0.9108386431511061,12
18,5477825.7402374735,3131178.635322083,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2346647.1049153907,34524336.1795799,600000,2096647.1049153907,2096647.1049153907,12024336.179579899,1231559.20350159,6884770.828525852,0.9108386431511061,12
19,5614771.38374341,3209458.1012051348,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2405313.2825382752,36929649.46211817,600000,2155313.2825382752,2155313.2825382752,14179649.462118175,1229145.04843372,6884770.828525852,0.9108386431511061,12
20,5755140.668336995,3289694.5537352627,0.5904,0.33747839999999996,0.4283902439024392,0.18,0.38,2465446.114601732,39395095.5767199,600000,2215446.114601732,2215446.114601732,16395095.576719906,1226638.7983612986,6884770.828525852,0.9108386431511061,12
