year,scenario,deployment_scale,mitigation_factor,risk_growth_after_mitigation,no_action_risk_index,scenario_risk_index,avoided_risk
0,Local pilots,0.05,0.0006000000000000001,0.034979,100.0,100.0,0.0
1,Local pilots,0.05,0.0006000000000000001,0.034979,103.49999999999999,103.49790000000002,0.002099999999970237
2,Local pilots,0.05,0.0006000000000000001,0.034979,107.12249999999999,107.11815304410001,0.004346955899976024
3,Local pilots,0.05,0.0006000000000000001,0.034979,110.87178749999997,110.86503891942961,0.0067485805703597634
4,Local pilots,0.05,0.0006000000000000001,0.034979,114.75230006249997,114.74298711579235,0.009312946707623837
5,Local pilots,0.05,0.0006000000000000001,0.034979,118.76863056468746,118.75658206211565,0.012048502571801123
6,Local pilots,0.05,0.0006000000000000001,0.034979,122.9255326344515,122.91056854606641,0.014964088385085006
7,Local pilots,0.05,0.0006000000000000001,0.034979,127.22792627665729,127.20985732323928,0.01806895341800896
8,Local pilots,0.05,0.0006000000000000001,0.034979,131.6809036963403,131.65953092254887,0.02137277379142688
9,Local pilots,0.05,0.0006000000000000001,0.034979,136.2897353257122,136.26484965468873,0.024885671023469058
10,Local pilots,0.05,0.0006000000000000001,0.034979,141.0598760621121,141.0312578307601,0.028618231351998702
11,Local pilots,0.05,0.0006000000000000001,0.034979,145.99697172428603,145.96439019842228,0.03258152586374763
12,Local pilots,0.05,0.0006000000000000001,0.034979,151.10686573463602,151.0700786031729,0.03678713146311452
13,Local pilots,0.05,0.0006000000000000001,0.034979,156.39560603534827,156.3543588826333,0.04124715271495916
14,Local pilots,0.05,0.0006000000000000001,0.034979,161.86945224658544,161.82347800198892,0.045974244596521885
15,Local pilots,0.05,0.0006000000000000001,0.034979,167.53488307521593,167.4839014390205,0.05098163619541651
16,Local pilots,0.05,0.0006000000000000001,0.034979,173.39860398284847,173.34232082745604,0.05628315539243545
17,Local pilots,0.05,0.0006000000000000001,0.034979,179.46755512224814,179.40566186767964,0.0618932545685027
18,Local pilots,0.05,0.0006000000000000001,0.034979,185.74891955152682,185.6810925141492,0.06782703737761153
19,Local pilots,0.05,0.0006000000000000001,0.034979,192.25013173583025,192.17603144920164,0.07410028662860668
20,Local pilots,0.05,0.0006000000000000001,0.034979,198.9788863465843,198.89815685326332,0.08072949332097323
21,Local pilots,0.05,0.0006000000000000001,0.034979,205.94314736871473,205.85541548183363,0.08773188688110167
22,Local pilots,0.05,0.0006000000000000001,0.034979,213.1511575266197,213.05603205997267,0.09512546664703336
23,Local pilots,0.05,0.0006000000000000001,0.034979,220.61144804005139,220.50851900539848,0.10292903465290237
24,Local pilots,0.05,0.0006000000000000001,0.034979,228.3328487214532,228.22168649168836,0.11116222976482959
25,Local pilots,0.05,0.0006000000000000001,0.034979,236.32449842670403,236.20465286348113,0.11984556322289563
26,Local pilots,0.05,0.0006000000000000001,0.034979,244.59585587163866,244.46685541599288,0.12900045564578022
27,Local pilots,0.05,0.0006000000000000001,0.034979,253.15671082714596,253.01806155158891,0.13864927555704298
28,Local pilots,0.05,0.0006000000000000001,0.034979,262.01719570609606,261.868380326602,0.1488153794940672
29,Local pilots,0.05,0.0006000000000000001,0.034979,271.1877975558094,271.0282744020462,0.15952315376324577
30,Local pilots,0.05,0.0006000000000000001,0.034979,280.6793704702627,280.5085724123554,0.17079805790729097
0,National programs,0.2,0.011000000000000001,0.034615,100.0,100.0,0.0
1,National programs,0.2,0.011000000000000001,0.034615,103.49999999999999,103.4615,0.03849999999998488
2,National programs,0.2,0.011000000000000001,0.034615,107.12249999999999,107.04281982250001,0.07968017749998069
3,National programs,0.2,0.011000000000000001,0.034615,110.87178749999997,110.74810703065585,0.12368046934412291
4,National programs,0.2,0.011000000000000001,0.034615,114.75230006249997,114.58165275552201,0.17064730697795483
5,National programs,0.2,0.011000000000000001,0.034615,118.76863056468746,118.54789666565442,0.22073389903303564
6,National programs,0.2,0.011000000000000001,0.034615,122.9255326344515,122.65143210873606,0.27410052571543986
7,National programs,0.2,0.011000000000000001,0.034615,127.22792627665729,126.89701143117995,0.33091484547733785
8,National programs,0.2,0.011000000000000001,0.034615,131.6809036963403,131.28955148187026,0.3913522144700323
9,National programs,0.2,0.011000000000000001,0.034615,136.2897353257122,135.8341393064152,0.45559601929699056
10,National programs,0.2,0.011000000000000001,0.034615,141.0598760621121,140.53603803850677,0.5238380236053217
11,National programs,0.2,0.011000000000000001,0.034615,145.99697172428603,145.4006929952097,0.5962787290763174
12,National programs,0.2,0.011000000000000001,0.034615,151.10686573463602,150.4337379832389,0.6731277513971179
13,National programs,0.2,0.011000000000000001,0.034615,156.39560603534827,155.6410018235287,0.7546042118195544
14,National programs,0.2,0.011000000000000001,0.034615,161.86945224658544,161.02851510165016,0.8409371449352818
15,National programs,0.2,0.011000000000000001,0.034615,167.53488307521593,166.6025171518938,0.9323659233221235
16,National programs,0.2,0.011000000000000001,0.034615,173.39860398284847,172.36946328310663,1.0291406997418449
17,National programs,0.2,0.011000000000000001,0.034615,179.46755512224814,178.33603225465134,1.1315228675968
18,National programs,0.2,0.011000000000000001,0.034615,185.74891955152682,184.50913401114613,1.2397855403806943
19,National programs,0.2,0.011000000000000001,0.034615,192.25013173583025,190.89591768494196,1.354214050888288
20,National programs,0.2,0.011000000000000001,0.034615,198.9788863465843,197.50377987560626,1.4751064709780337
21,National programs,0.2,0.011000000000000001,0.034615,205.94314736871473,204.3403732160004,1.6027741527143462
22,National programs,0.2,0.011000000000000001,0.034615,213.1511575266197,211.41361523487222,1.7375422917474737
