year,baseline_yield_t_per_ha,restored_yield_t_per_ha,baseline_expected_drought_loss_t_per_ha,restored_expected_drought_loss_t_per_ha,soil_moisture_index,baseline_farm_revenue,restored_farm_revenue,fertilizer_cost_saving,water_cost_saving,cooling_credit_revenue,annual_net_benefit,project_cash_flow_after_capex,cumulative_cash_flow,discounted_annual_net_benefit,project_npv,project_roi,payback_year
1,3.7359999999999998,3.885826,0.264,0.174174,102.49999999999999,130759.99999999999,136003.90999999997,32400.0,14400.0,80000.0,-27956.090000000026,-927956.0900000001,-927956.0900000001,-27141.834951456334,-676362.089002413,-0.5547757778502127,
2,3.69864,3.943252,0.26136,0.17674800000000002,105.06249999999999,129452.40000000001,138013.82,32400.0,14400.0,81600.0,-23038.580000000016,-23038.580000000016,-950994.6700000002,-21716.07126025075,-676362.089002413,-0.5547757778502127,
3,3.6616535999999997,4.000678,0.2587464,0.17932199999999998,107.68906249999996,128157.87599999999,140023.72999999998,32400.0,14400.0,83232.0,-18102.146000000008,-18102.146000000008,-969096.8160000001,-16566.027928293166,-676362.089002413,-0.5547757778502127,
4,3.6250370640000003,4.058104,0.256158936,0.18189600000000003,110.38128906249996,126876.29724,142033.64,32400.0,14400.0,84896.64000000001,-13146.017239999957,-13146.017239999957,-982242.8332400001,-11680.066049416313,-676362.089002413,-0.5547757778502127,
5,3.58878669336,4.11553,0.25359734664,0.18447,113.14082128906244,125607.53426759999,144043.55,32400.0,14400.0,86594.5728,-8169.411467600003,-8169.411467600003,-990412.2447076001,-7047.006095200487,-676362.089002413,-0.5547757778502127,
6,3.5528988264263996,4.172956,0.2510613731736,0.18704400000000002,115.96934182128899,124351.45892492398,146053.46000000002,32400.0,14400.0,88326.464256,-3171.5346689239377,-3171.5346689239377,-993583.779376524,-2656.1103547502034,-676362.089002413,-0.5547757778502127,
7,3.517369838162136,4.230382,0.248550759441864,0.18961799999999998,118.86857536682123,123107.94433567478,148063.37,32400.0,14400.0,90092.99354112,1848.4192054452142,1848.4192054452142,-991735.3601710788,1502.93396535153,-676362.089002413,-0.5547757778502127,
8,3.4821961397805143,4.287808,0.24606525184744532,0.19219200000000003,121.84028975099173,121876.864892318,150073.28,32400.0,14400.0,91894.8534119424,6891.268519624398,6891.268519624398,-984844.0916514545,5440.031005528424,-676362.089002413,-0.5547757778502127,
9,3.4473741783827094,4.345234,0.24360459932897088,0.19476600000000002,124.88629699476652,120658.09624339484,152083.19,32400.0,14400.0,93732.75048018126,11957.844236786419,11957.844236786419,-972886.2474146681,9164.691905831916,-676362.089002413,-0.5547757778502127,
10,3.412900436598882,4.40266,0.24116855333568116,0.19734,128.00845441963565,119451.51528096086,154093.1,32400.0,14400.0,95607.40548978488,17048.99020882405,17048.99020882405,-955837.257205844,12686.049869519818,-676362.089002413,-0.5547757778502127,
11,3.3787714322328934,4.460086,0.23875686780232436,0.199914,131.20866578012655,118257.00012815127,156103.01,32400.0,14400.0,97519.55359958058,22165.56347142934,22165.56347142934,-933671.6937344146,16012.874659560872,-676362.089002413,-0.5547757778502127,
12,3.3449837179105644,4.517512,0.23636929912430113,0.20248799999999997,134.4888824246297,117074.43012686976,158112.91999999998,32400.0,14400.0,99469.9446715722,27308.43454470241,27308.43454470241,-906363.2591897122,19153.586549221018,-676362.089002413,-0.5547757778502127,
13,3.3115338807314587,4.574938,0.2340056061330581,0.20506200000000002,137.85110448524543,115903.68582560106,160122.83000000002,32400.0,14400.0,101459.34356500364,32478.487739402597,32478.487739402597,-873884.7714503097,22116.269747098184,-676362.089002413,-0.5547757778502127,
14,3.278418541924144,4.632364,0.23166555007172748,0.20763600000000001,141.29738209737656,114744.64896734504,162132.74,32400.0,14400.0,103488.53043630373,37676.62146895868,37676.62146895868,-836208.149981351,24908.68531621663,-676362.089002413,-0.5547757778502127,
15,3.245634356504903,4.68979,0.22934889457101024,0.21021,144.82981664981097,113597.20247767161,164142.65000000002,32400.0,14400.0,105558.30104502979,42903.74856735818,42903.74856735818,-793304.4014139927,27538.283606063647,-676362.089002413,-0.5547757778502127,
16,3.2131780129398537,4.747216,0.22705540562530013,0.212784,148.45056206605622,112461.23045289489,166152.56,32400.0,14400.0,107669.4670659304,48160.79661303549,48160.79661303549,-745143.6048009573,30012.216215747758,-676362.089002413,-0.5547757778502127,
17,3.181046232810455,4.804641999999999,0.22478485156904712,0.21535799999999997,152.16182611770762,111336.61814836593,168162.46999999997,32400.0,14400.0,109822.856407249,53448.70825888304,53448.70825888304,-691694.8965420742,32337.347505783466,-676362.089002413,-0.5547757778502127,
18,3.1492357704823504,4.862068,0.22253700305335664,0.217932,155.9658717706503,110223.25196688225,170172.38,32400.0,14400.0,112019.31353539399,58768.44156851174,58768.44156851174,-632926.4549735624,34520.265675356364,-676362.089002413,-0.5547757778502127,
19,3.1177434127775268,4.919493999999999,0.22031163302282308,0.220506,159.86501856491654,109121.01944721345,172182.28999999998,32400.0,14400.0,114259.69980610187,64120.970358888386,64120.970358888386,-568805.484614674,36567.293421295646,-676362.089002413,-0.5547757778502127,
20,3.0865659786497517,4.97692,0.21810851669259487,0.22308,163.8616440290394,108029.80925274132,174192.2,32400.0,14400.0,116544.8938022239,69507.28454948257,69507.28454948257,-499298.2000651914,38484.49819437892,-676362.089002413,-0.5547757778502127,
